No,Name,Type1,Type2,Height,Weight,Legendary,BMI,Height_Category
1,Bulbasaur,Grass,Poison,0.7,6.9,0,14.081632653061227,Short
2,Ivysaur,Grass,Poison,1.0,13.0,0,13.0,Short
3,Venusaur,Grass,Poison,2.0,100.0,0,25.0,Tall
4,Charmander,Fire,,0.6,8.5,0,23.61111111111111,Short
5,Charmeleon,Fire,,1.1,19.0,0,15.702479338842974,Short
6,Charizard,Fire,Flying,1.7,90.5,0,31.314878892733567,Tall
7,Squirtle,Water,,0.5,9.0,0,36.0,Short
8,Wartortle,Water,,1.0,22.5,0,22.5,Short
9,Blastoise,Water,,1.6,85.5,0,33.39843749999999,Tall
10,Caterpie,Bug,,0.3,2.9,0,32.22222222222222,Short
11,Metapod,Bug,,0.7,9.9,0,20.204081632653065,Short
12,Butterfree,Bug,Flying,1.1,32.0,0,26.446280991735534,Short
13,Weedle,Bug,Poison,0.3,3.2,0,35.55555555555556,Short
14,Kakuna,Bug,Poison,0.6,10.0,0,27.77777777777778,Short
15,Beedrill,Bug,Poison,1.0,29.5,0,29.5,Short
16,Pidgey,Normal,Flying,0.3,1.8,0,20.0,Short
17,Pidgeotto,Normal,Flying,1.1,30.0,0,24.793388429752063,Short
18,Pidgeot,Normal,Flying,1.5,39.5,0,17.555555555555557,Tall
19,Rattata,Normal,,0.3,3.5,0,38.88888888888889,Short
20,Raticate,Normal,,0.7,18.5,0,37.75510204081633,Short
21,Spearow,Normal,Flying,0.3,2.0,0,22.22222222222222,Short
22,Fearow,Normal,Flying,1.2,38.0,0,26.38888888888889,Short
23,Ekans,Poison,,2.0,6.9,0,1.725,Tall
24,Arbok,Poison,,3.5,65.0,0,5.3061224489795915,Tall
25,Pikachu,Electric,,0.4,6.0,0,37.49999999999999,Short
26,Raichu,Electric,,0.8,30.0,0,46.87499999999999,Short
27,Sandshrew,Ground,,0.6,12.0,0,33.333333333333336,Short
28,Sandslash,Ground,,1.0,29.5,0,29.5,Short
29,Nidoran♀,Poison,,0.4,7.0,0,43.74999999999999,Short
30,Nidorina,Poison,,0.8,20.0,0,31.249999999999993,Short
31,Nidoqueen,Poison,Ground,1.3,60.0,0,35.50295857988165,Short
32,Nidoran♂,Poison,,0.5,9.0,0,36.0,Short
33,Nidorino,Poison,,0.9,19.5,0,24.074074074074073,Short
34,Nidoking,Poison,Ground,1.4,62.0,0,31.632653061224495,Short
35,Clefairy,Fairy,,0.6,7.5,0,20.833333333333336,Short
36,Clefable,Fairy,,1.3,40.0,0,23.668639053254434,Short
37,Vulpix,Fire,,0.6,9.9,0,27.500000000000004,Short
38,Ninetales,Fire,,1.1,19.9,0,16.446280991735534,Short
39,Jigglypuff,Normal,Fairy,0.5,5.5,0,22.0,Short
40,Wigglytuff,Normal,Fairy,1.0,12.0,0,12.0,Short
41,Zubat,Poison,Flying,0.8,7.5,0,11.718749999999998,Short
42,Golbat,Poison,Flying,1.6,55.0,0,21.484374999999996,Tall
43,Oddish,Grass,Poison,0.5,5.4,0,21.6,Short
44,Gloom,Grass,Poison,0.8,8.6,0,13.437499999999996,Short
45,Vileplume,Grass,Poison,1.2,18.6,0,12.916666666666668,Short
46,Paras,Bug,Grass,0.3,5.4,0,60.00000000000001,Short
47,Parasect,Bug,Grass,1.0,29.5,0,29.5,Short
48,Venonat,Bug,Poison,1.0,30.0,0,30.0,Short
49,Venomoth,Bug,Poison,1.5,12.5,0,5.555555555555555,Tall
50,Diglett,Ground,,0.2,0.8,0,19.999999999999996,Short
51,Dugtrio,Ground,,0.7,33.3,0,67.9591836734694,Short
52,Meowth,Normal,,0.4,4.2,0,26.249999999999996,Short
53,Persian,Normal,,1.0,32.0,0,32.0,Short
54,Psyduck,Water,,0.8,19.6,0,30.624999999999996,Short
55,Golduck,Water,,1.7,76.6,0,26.505190311418687,Tall
56,Mankey,Fighting,,0.5,28.0,0,112.0,Short
57,Primeape,Fighting,,1.0,32.0,0,32.0,Short
58,Growlithe,Fire,,0.7,19.0,0,38.77551020408164,Short
59,Arcanine,Fire,,1.9,155.0,0,42.93628808864266,Tall
60,Poliwag,Water,,0.6,12.4,0,34.44444444444445,Short
61,Poliwhirl,Water,,1.0,20.0,0,20.0,Short
62,Poliwrath,Water,Fighting,1.3,54.0,0,31.95266272189349,Short
63,Abra,Psychic,,0.9,19.5,0,24.074074074074073,Short
64,Kadabra,Psychic,,1.3,56.5,0,33.43195266272189,Short
65,Alakazam,Psychic,,1.5,48.0,0,21.333333333333332,Tall
66,Machop,Fighting,,0.8,19.5,0,30.468749999999993,Short
67,Machoke,Fighting,,1.5,70.5,0,31.333333333333332,Tall
68,Machamp,Fighting,,1.6,130.0,0,50.78124999999999,Tall
69,Bellsprout,Grass,Poison,0.7,4.0,0,8.163265306122451,Short
70,Weepinbell,Grass,Poison,1.0,6.4,0,6.4,Short
71,Victreebel,Grass,Poison,1.7,15.5,0,5.363321799307959,Tall
72,Tentacool,Water,Poison,0.9,45.5,0,56.172839506172835,Short
73,Tentacruel,Water,Poison,1.6,55.0,0,21.484374999999996,Tall
74,Geodude,Rock,Ground,0.4,20.0,0,124.99999999999997,Short
75,Graveler,Rock,Ground,1.0,105.0,0,105.0,Short
76,Golem,Rock,Ground,1.4,300.0,0,153.06122448979593,Short
77,Ponyta,Fire,,1.0,30.0,0,30.0,Short
78,Rapidash,Fire,,1.7,95.0,0,32.871972318339104,Tall
79,Slowpoke,Water,Psychic,1.2,36.0,0,25.0,Short
80,Slowbro,Water,Psychic,1.6,78.5,0,30.664062499999993,Tall
81,Magnemite,Electric,Steel,0.3,6.0,0,66.66666666666667,Short
82,Magneton,Electric,Steel,1.0,60.0,0,60.0,Short
83,Farfetch'd,Normal,Flying,0.8,15.0,0,23.437499999999996,Short
84,Doduo,Normal,Flying,1.4,39.2,0,20.000000000000004,Short
85,Dodrio,Normal,Flying,1.8,85.2,0,26.296296296296294,Tall
86,Seel,Water,,1.1,90.0,0,74.38016528925618,Short
87,Dewgong,Water,Ice,1.7,120.0,0,41.52249134948097,Tall
88,Grimer,Poison,,0.9,30.0,0,37.03703703703704,Short
89,Muk,Poison,,1.2,30.0,0,20.833333333333336,Short
90,Shellder,Water,,0.3,4.0,0,44.44444444444444,Short
91,Cloyster,Water,Ice,1.5,132.5,0,58.888888888888886,Tall
92,Gastly,Ghost,Poison,1.3,0.1,0,0.05917159763313609,Short
93,Haunter,Ghost,Poison,1.6,0.1,0,0.03906249999999999,Tall
94,Gengar,Ghost,Poison,1.5,40.5,0,18.0,Tall
95,Onix,Rock,Ground,8.8,210.0,0,2.711776859504132,Tall
96,Drowzee,Psychic,,1.0,32.4,0,32.4,Short
97,Hypno,Psychic,,1.6,75.6,0,29.531249999999993,Tall
98,Krabby,Water,,0.4,6.5,0,40.62499999999999,Short
99,Kingler,Water,,1.3,60.0,0,35.50295857988165,Short
100,Voltorb,Electric,,0.5,10.4,0,41.6,Short
101,Electrode,Electric,,1.2,66.6,0,46.25,Short
102,Exeggcute,Grass,Psychic,0.4,2.5,0,15.624999999999996,Short
103,Exeggutor,Grass,Psychic,2.0,120.0,0,30.0,Tall
104,Cubone,Ground,,0.4,6.5,0,40.62499999999999,Short
105,Marowak,Ground,,1.0,45.0,0,45.0,Short
106,Hitmonlee,Fighting,,1.5,49.8,0,22.133333333333333,Tall
107,Hitmonchan,Fighting,,1.4,50.2,0,25.61224489795919,Short
108,Lickitung,Normal,,1.2,65.5,0,45.486111111111114,Short
109,Koffing,Poison,,0.6,1.0,0,2.7777777777777777,Short
110,Weezing,Poison,,1.2,9.5,0,6.597222222222222,Short
111,Rhyhorn,Ground,Rock,1.0,115.0,0,115.0,Short
112,Rhydon,Ground,Rock,1.9,120.0,0,33.2409972299169,Tall
