player_id,region,join_date
P_0001,APAC,2026-01-01 00:00:00
P_0002,NA,2026-01-01 21:20:00
P_0003,APAC,2026-01-02 18:40:00
P_0004,APAC,2026-01-03 16:00:00
P_0005,NA,2026-01-04 13:20:00
P_0006,NA,2026-01-05 10:40:00
P_0007,APAC,2026-01-06 08:00:00
P_0008,EU,2026-01-07 05:20:00
P_0009,APAC,2026-01-08 02:40:00
P_0010,APAC,2026-01-09 00:00:00
P_0011,APAC,2026-01-09 21:20:00
P_0012,APAC,2026-01-10 18:40:00
P_0013,NA,2026-01-11 16:00:00
P_0014,APAC,2026-01-12 13:20:00
P_0015,EU,2026-01-13 10:40:00
P_0016,NA,2026-01-14 08:00:00
P_0017,EU,2026-01-15 05:20:00
P_0018,EU,2026-01-16 02:40:00
P_0019,EU,2026-01-17 00:00:00
P_0020,EU,2026-01-17 21:20:00
P_0021,NA,2026-01-18 18:40:00
P_0022,NA,2026-01-19 16:00:00
P_0023,EU,2026-01-20 13:20:00
P_0024,EU,2026-01-21 10:40:00
P_0025,NA,2026-01-22 08:00:00
P_0026,NA,2026-01-23 05:20:00
P_0027,NA,2026-01-24 02:40:00
P_0028,APAC,2026-01-25 00:00:00
P_0029,APAC,2026-01-25 21:20:00
P_0030,APAC,2026-01-26 18:40:00
P_0031,EU,2026-01-27 16:00:00
P_0032,APAC,2026-01-28 13:20:00
P_0033,EU,2026-01-29 10:40:00
P_0034,EU,2026-01-30 08:00:00
P_0035,APAC,2026-01-31 05:20:00
P_0036,EU,2026-02-01 02:40:00
P_0037,APAC,2026-02-02 00:00:00
P_0038,APAC,2026-02-02 21:20:00
P_0039,NA,2026-02-03 18:40:00
P_0040,APAC,2026-02-04 16:00:00
P_0041,NA,2026-02-05 13:20:00
P_0042,APAC,2026-02-06 10:40:00
P_0043,APAC,2026-02-07 08:00:00
P_0044,NA,2026-02-08 05:20:00
P_0045,NA,2026-02-09 02:40:00
P_0046,APAC,2026-02-10 00:00:00
P_0047,EU,2026-02-10 21:20:00
P_0048,NA,2026-02-11 18:40:00
P_0049,EU,2026-02-12 16:00:00
P_0050,EU,2026-02-13 13:20:00
P_0051,EU,2026-02-14 10:40:00
P_0052,NA,2026-02-15 08:00:00
P_0053,EU,2026-02-16 05:20:00
P_0054,NA,2026-02-17 02:40:00
P_0055,EU,2026-02-18 00:00:00
P_0056,APAC,2026-02-18 21:20:00
P_0057,APAC,2026-02-19 18:40:00
P_0058,NA,2026-02-20 16:00:00
P_0059,APAC,2026-02-21 13:20:00
P_0060,APAC,2026-02-22 10:40:00
P_0061,EU,2026-02-23 08:00:00
P_0062,NA,2026-02-24 05:20:00
P_0063,EU,2026-02-25 02:40:00
P_0064,EU,2026-02-26 00:00:00
P_0065,EU,2026-02-26 21:20:00
P_0066,EU,2026-02-27 18:40:00
P_0067,EU,2026-02-28 16:00:00
P_0068,EU,2026-03-01 13:20:00
P_0069,EU,2026-03-02 10:40:00
P_0070,NA,2026-03-03 08:00:00
P_0071,APAC,2026-03-04 05:20:00
P_0072,EU,2026-03-05 02:40:00
P_0073,EU,2026-03-06 00:00:00
P_0074,EU,2026-03-06 21:20:00
P_0075,EU,2026-03-07 18:40:00
P_0076,EU,2026-03-08 16:00:00
P_0077,EU,2026-03-09 13:20:00
P_0078,APAC,2026-03-10 10:40:00
P_0079,APAC,2026-03-11 08:00:00
P_0080,EU,2026-03-12 05:20:00
P_0081,APAC,2026-03-13 02:40:00
P_0082,NA,2026-03-14 00:00:00
P_0083,EU,2026-03-14 21:20:00
P_0084,NA,2026-03-15 18:40:00
P_0085,NA,2026-03-16 16:00:00
P_0086,EU,2026-03-17 13:20:00
P_0087,APAC,2026-03-18 10:40:00
P_0088,NA,2026-03-19 08:00:00
P_0089,EU,2026-03-20 05:20:00
P_0090,NA,2026-03-21 02:40:00
P_0091,NA,2026-03-22 00:00:00
P_0092,NA,2026-03-22 21:20:00
P_0093,NA,2026-03-23 18:40:00
P_0094,APAC,2026-03-24 16:00:00
P_0095,NA,2026-03-25 13:20:00
P_0096,NA,2026-03-26 10:40:00
P_0097,NA,2026-03-27 08:00:00
P_0098,APAC,2026-03-28 05:20:00
P_0099,NA,2026-03-29 02:40:00
P_0100,NA,2026-03-30 00:00:00
