session_id,player_id,duration_mins,score
S_00001,P_0008,26.439120581899964,211
S_00002,P_0088,58.080085207084565,429
S_00003,P_0063,29.708367886506778,136
S_00004,P_0011,16.011125151583784,104
S_00005,P_0081,10.575862882802102,337
S_00006,P_0008,28.423222428803793,227
S_00007,P_0035,0.0755764266352621,440
S_00008,P_0035,10.497107376098402,398
S_00009,P_0033,53.14601477788626,57
S_00010,P_0005,49.84895710726855,370
S_00011,P_0041,28.073817801904376,362
S_00012,P_0028,23.015028431181804,296
S_00013,P_0007,30.877633534602662,372
S_00014,P_0073,65.21995392675484,492
S_00015,P_0072,36.074632631557876,304
S_00016,P_0012,43.646072624397256,377
S_00017,P_0034,26.96313711252673,103
S_00018,P_0033,,298
S_00019,P_0048,39.70744045180566,288
S_00020,P_0023,31.891422417360435,278
S_00021,P_0062,1.5393452626701354,116
S_00022,P_0088,49.20811142516196,100
S_00023,P_0037,20.77299483343004,146
S_00024,P_0099,61.669764624243776,141
S_00025,P_0044,40.302727691489565,313
S_00026,P_0086,31.06458623459619,467
S_00027,P_0091,36.58990710155151,340
S_00028,P_0035,28.372531671547303,145
S_00029,P_0065,22.703508509214593,137
S_00030,P_0099,33.1139739192858,127
S_00031,P_0047,43.27485700779998,337
S_00032,P_0078,23.032053770325483,169
S_00033,P_0003,20.666442526405813,351
S_00034,P_0001,24.667670386254603,449
S_00035,P_0005,44.28016640770042,214
S_00036,P_0090,51.78825371193557,231
S_00037,P_0014,35.43020867913706,447
S_00038,P_0027,38.71971201053586,272
S_00039,P_0009,20.55448714102331,360
S_00040,P_0079,43.15131974928488,481
S_00041,P_0015,38.27605515697611,56
S_00042,P_0090,19.34808063108774,379
S_00043,P_0042,3.1849258210232705,312
S_00044,P_0077,11.691448435772184,210
S_00045,P_0051,19.961959077281804,200
S_00046,P_0063,47.42905976620162,134
S_00047,P_0096,53.292896637589884,196
S_00048,P_0052,23.40723186788584,161
S_00049,P_0096,23.881269708430565,430
S_00050,P_0004,33.924345839587,452
S_00051,P_0094,30.18219763609838,85
S_00052,P_0023,43.96401125961118,334
S_00053,P_0015,22.15217859619335,237
S_00054,P_0043,44.237144816714974,131
S_00055,P_0029,,51
S_00056,P_0036,42.809620666017835,434
S_00057,P_0013,25.934393065671863,352
S_00058,P_0032,20.803579756374333,246
S_00059,P_0071,58.68476459759956,453
S_00060,P_0059,45.97840623820377,60
S_00061,P_0086,3.119323497971777,283
S_00062,P_0028,23.298397323151384,435
S_00063,P_0066,48.07384382667861,244
S_00064,P_0042,12.05009296179717,168
S_00065,P_0045,41.560174942846665,445
S_00066,P_0062,40.005841552046874,69
S_00067,P_0057,19.51280132862124,310
S_00068,P_0006,29.867744306312886,342
S_00069,P_0028,-1.350266229454192,471
S_00070,P_0028,56.55647274850078,305
S_00071,P_0044,25.363612362046172,271
S_00072,P_0084,42.05719577064388,442
S_00073,P_0030,39.20762012213137,275
S_00074,P_0062,50.36821182149983,102
S_00075,P_0075,23.5004488964616,477
S_00076,P_0092,33.057340912912004,404
S_00077,P_0089,38.386638039217914,391
S_00078,P_0062,,413
S_00079,P_0097,47.31531507613386,329
S_00080,P_0001,22.83927404137019,130
S_00081,P_0027,20.03658835043366,251
S_00082,P_0062,50.40167049372257,207
S_00083,P_0077,-0.5561390245820839,169
S_00084,P_0003,53.550484208140084,108
S_00085,P_0070,25.465136368855383,264
S_00086,P_0072,29.931557565145557,177
S_00087,P_0027,19.764860983197693,273
S_00088,P_0009,29.277067716962804,258
S_00089,P_0062,49.06707338971372,419
S_00090,P_0037,41.5629465219606,164
S_00091,P_0097,37.39029725700608,258
S_00092,P_0051,31.333095091976155,63
S_00093,P_0044,8.315850412918763,58
S_00094,P_0024,17.337946297233906,89
S_00095,P_0079,24.85198145053248,499
S_00096,P_0059,36.865146816432585,286
S_00097,P_0032,31.044789967783185,330
S_00098,P_0096,44.752564595376974,408
S_00099,P_0088,37.10441081591347,250
S_00100,P_0052,30.815258669078567,295
S_00101,P_0062,64.13641946350805,327
S_00102,P_0058,36.09340027574893,284
S_00103,P_0052,23.520866975874416,53
S_00104,P_0012,57.89950509730395,203
S_00105,P_0039,48.00617322620097,491
S_00106,P_0002,57.241316853657224,78
S_00107,P_0003,28.33602096555735,158
S_00108,P_0056,44.64463689721654,147
S_00109,P_0081,8.207258113914587,264
S_00110,P_0059,41.760096163712525,342
S_00111,P_0002,27.634140626188447,124
S_00112,P_0002,9.674130667231015,375
S_00113,P_0092,,195
S_00114,P_0054,,177
S_00115,P_0087,1.3094022440367148,390
S_00116,P_0096,35.43714688207953,91
S_00117,P_0097,38.57021265490182,405
S_00118,P_0001,44.55785730019816,90
S_00119,P_0019,41.12944524794197,471
S_00120,P_0002,52.149879381444435,83
S_00121,P_0053,40.503644300436285,66
S_00122,P_0044,28.01550834086306,214
S_00123,P_0090,28.895833263121403,202
S_00124,P_0032,25.766682165191835,427
S_00125,P_0070,34.43216286634775,125
S_00126,P_0032,13.539811971500125,136
S_00127,P_0068,35.1138329783843,166
S_00128,P_0055,28.703797397525797,411
S_00129,P_0075,34.13452736831111,391
S_00130,P_0056,34.18084552455991,76
S_00131,P_0017,,362
S_00132,P_0038,,336
S_00133,P_0024,28.370570038667168,183
S_00134,P_0069,29.167725625534896,268
S_00135,P_0098,33.89083963499541,217
S_00136,P_0070,34.53522435497464,147
S_00137,P_0086,52.74349984400844,317
S_00138,P_0011,34.68687721646921,286
S_00139,P_0016,25.30464437675339,358
S_00140,P_0097,6.013147911937761,443
S_00141,P_0073,9.471148266872142,222
S_00142,P_0059,38.03237714962807,450
S_00143,P_0070,45.90670221165702,459
S_00144,P_0080,53.12056495377274,239
S_00145,P_0093,17.581603816264302,171
S_00146,P_0003,25.442033468536092,95
S_00147,P_0020,33.635005291246685,113
S_00148,P_0059,60.71098381695357,179
S_00149,P_0036,31.722922023208433,359
S_00150,P_0019,53.26894282099457,412
S_00151,P_0090,32.549593543609625,242
S_00152,P_0067,47.29867779642684,356
S_00153,P_0019,45.39869769828117,230
S_00154,P_0020,32.49132198762227,341
S_00155,P_0096,14.694251291067678,420
S_00156,P_0071,25.963583431065743,331
S_00157,P_0052,52.33567760826719,78
S_00158,P_0033,43.16737752720171,198
S_00159,P_0040,23.49524509842229,316
S_00160,P_0039,24.865370420634008,345
S_00161,P_0082,4.03690344351649,60
S_00162,P_0001,51.66508187972717,213
S_00163,P_0011,43.2909534036923,162
S_00164,P_0092,27.943832684372204,236
S_00165,P_0057,33.002016287601336,344
S_00166,P_0089,,281
S_00167,P_0050,22.699282559358757,276
S_00168,P_0023,50.01668461296204,359
S_00169,P_0031,44.723210650951216,147
S_00170,P_0094,34.96050835595898,104
S_00171,P_0042,29.77922612047595,160
S_00172,P_0099,41.9460814454449,201
S_00173,P_0007,25.779223401733702,295
S_00174,P_0016,5.029602057074882,455
S_00175,P_0090,,118
S_00176,P_0060,36.04678990628366,361
S_00177,P_0002,46.84016527197032,338
S_00178,P_0001,8.38206359256002,299
S_00179,P_0048,28.156330401728173,85
S_00180,P_0012,28.87044517867315,288
S_00181,P_0069,13.48122142729332,197
S_00182,P_0037,37.31509912384941,276
S_00183,P_0032,41.210520474177024,293
S_00184,P_0009,25.63961537953435,386
S_00185,P_0099,60.82638912932209,495
S_00186,P_0019,25.20959988699513,414
S_00187,P_0048,23.299747939639992,250
S_00188,P_0080,22.864929780470966,203
S_00189,P_0003,17.76751390067267,499
S_00190,P_0020,21.61461760149215,122
