session_id,player_id,timestamp,duration_mins,damage_dealt,xp_gained
S_0001,P_007,2026-08-01 00:00:00,15.3,,1504.0
S_0002,P_020,2026-08-01 02:00:00,118.2,7845.189473980921,1239.0
S_0003,P_015,2026-08-01 04:00:00,63.4,4631.917825995694,1131.0
S_0004,P_011,2026-08-01 06:00:00,96.5,3869.3957534637657,912.0
S_0005,P_008,2026-08-01 08:00:00,164.3,3665.728355561715,474.0
S_0006,P_007,2026-08-01 10:00:00,52.4,3776.2845725518428,417.0
S_0007,P_019,2026-08-01 12:00:00,79.8,4884.3474358788435,562.0
S_0008,P_011,2026-08-01 14:00:00,138.4,5511.727962224966,566.0
S_0009,P_011,2026-08-01 16:00:00,48.9,5415.036198995029,618.0
S_0010,P_004,2026-08-01 18:00:00,23.1,6240.774873554035,1263.0
S_0011,P_008,2026-08-01 20:00:00,59.3,5019.502837816861,556.0
S_0012,P_003,2026-08-01 22:00:00,37.4,7180.301115735975,1062.0
S_0013,P_002,2026-08-02 00:00:00,168.0,,1044.0
S_0014,P_012,2026-08-02 02:00:00,147.4,9080.253749884429,940.0
S_0015,P_006,2026-08-02 04:00:00,117.7,5938.501021647509,1319.0
S_0016,P_002,2026-08-02 06:00:00,158.1,3714.2636653755762,528.0
S_0017,P_001,2026-08-02 08:00:00,146.6,3393.6612529083313,400.0
S_0018,P_012,2026-08-02 10:00:00,41.7,5723.708622864778,1171.0
S_0019,P_012,2026-08-02 12:00:00,161.7,4664.805822011223,907.0
S_0020,P_017,2026-08-02 14:00:00,101.7,6071.0007411381375,1406.0
S_0021,P_010,2026-08-02 16:00:00,147.3,5709.856436860317,1201.0
S_0022,P_016,2026-08-02 18:00:00,162.3,4890.756631014691,1079.0
S_0023,P_015,2026-08-02 20:00:00,64.1,3729.8094228973923,531.0
S_0024,P_015,2026-08-02 22:00:00,28.7,2727.729162971203,345.0
S_0025,P_019,2026-08-03 00:00:00,48.7,,921.0
S_0026,P_012,2026-08-03 02:00:00,82.6,6284.598191485208,1389.0
S_0027,P_020,2026-08-03 04:00:00,149.1,5321.1406161953055,1323.0
S_0028,P_003,2026-08-03 06:00:00,156.3,3131.3918319320182,507.0
S_0029,P_005,2026-08-03 08:00:00,11.2,5259.771388776773,819.0
S_0030,P_019,2026-08-03 10:00:00,96.8,5577.9760695932555,1207.0
S_0031,P_007,2026-08-03 12:00:00,81.0,3674.2138456983002,555.0
S_0032,P_009,2026-08-03 14:00:00,47.8,5230.587658918292,1253.0
S_0033,P_007,2026-08-03 16:00:00,30.4,5087.3130776689995,1164.0
S_0034,P_018,2026-08-03 18:00:00,67.4,3285.5445532540652,540.0
S_0035,P_004,2026-08-03 20:00:00,170.3,5536.681040522425,1177.0
S_0036,P_014,2026-08-03 22:00:00,64.9,5841.176789552352,1245.0
S_0037,P_018,2026-08-04 00:00:00,98.2,,765.0
S_0038,P_009,2026-08-04 02:00:00,129.5,6580.703078052355,1549.0
S_0039,P_002,2026-08-04 04:00:00,71.8,2933.4959480643633,516.0
S_0040,P_020,2026-08-04 06:00:00,175.2,3593.262440127316,805.0
S_0041,P_015,2026-08-04 08:00:00,173.6,5772.55290081299,854.0
S_0042,P_007,2026-08-04 10:00:00,52.8,5770.678926368313,1352.0
S_0043,P_012,2026-08-04 12:00:00,94.5,5772.571529459072,914.0
S_0044,P_008,2026-08-04 14:00:00,61.1,10000.0,1016.0
S_0045,P_015,2026-08-04 16:00:00,58.4,5856.3357660397505,1381.0
S_0046,P_003,2026-08-04 18:00:00,16.3,6703.348460270899,762.0
S_0047,P_014,2026-08-04 20:00:00,113.6,6431.002645239803,951.0
S_0048,P_017,2026-08-04 22:00:00,95.5,5977.086876958697,1449.0
S_0049,P_004,2026-08-05 00:00:00,18.8,,1098.0
S_0050,P_018,2026-08-05 02:00:00,57.4,6138.453830739902,1142.0
S_0051,P_008,2026-08-05 04:00:00,164.4,3840.7621781936423,748.0
S_0052,P_004,2026-08-05 06:00:00,50.7,4644.772089889987,777.0
S_0053,P_002,2026-08-05 08:00:00,34.6,4271.954678256345,615.0
S_0054,P_006,2026-08-05 10:00:00,93.2,5122.811209079484,765.0
S_0055,P_010,2026-08-05 12:00:00,177.6,8471.987850010264,1702.0
S_0056,P_004,2026-08-05 14:00:00,51.1,2199.102211112378,468.0
S_0057,P_018,2026-08-05 16:00:00,124.3,6029.390285561771,1319.0
S_0058,P_012,2026-08-05 18:00:00,139.5,2580.9261932155227,564.0
S_0059,P_002,2026-08-05 20:00:00,50.4,4292.10220131585,488.0
S_0060,P_010,2026-08-05 22:00:00,133.8,6633.42589545105,1155.0
S_0061,P_004,2026-08-06 00:00:00,72.5,,554.0
S_0062,P_014,2026-08-06 02:00:00,117.5,3383.382833106041,617.0
S_0063,P_016,2026-08-06 04:00:00,117.7,3927.0444361100476,653.0
S_0064,P_015,2026-08-06 06:00:00,101.1,6019.396623402014,1403.0
S_0065,P_008,2026-08-06 08:00:00,25.3,3904.450052424295,596.0
S_0066,P_014,2026-08-06 10:00:00,152.0,5324.687884372962,626.0
S_0067,P_008,2026-08-06 12:00:00,64.5,5068.35775985572,616.0
S_0068,P_016,2026-08-06 14:00:00,41.7,4022.5994785912744,862.0
S_0069,P_013,2026-08-06 16:00:00,16.9,8215.916133987988,1583.0
S_0070,P_018,2026-08-06 18:00:00,110.5,5950.878533477016,685.0
S_0071,P_015,2026-08-06 20:00:00,125.2,1962.2861200135894,221.0
S_0072,P_013,2026-08-06 22:00:00,12.8,5279.681472154141,1083.0
S_0073,P_009,2026-08-07 00:00:00,97.1,,444.0
S_0074,P_015,2026-08-07 02:00:00,48.5,6278.650002194336,1402.0
S_0075,P_013,2026-08-07 04:00:00,119.7,3811.2188923509493,785.0
S_0076,P_001,2026-08-07 06:00:00,39.6,4827.895337799651,542.0
S_0077,P_007,2026-08-07 08:00:00,127.5,5757.4809184706855,649.0
S_0078,P_009,2026-08-07 10:00:00,75.7,6298.632791255182,1562.0
S_0079,P_001,2026-08-07 12:00:00,169.2,3199.555389416336,500.0
S_0080,P_012,2026-08-07 14:00:00,33.4,4498.248146238578,700.0
S_0081,P_008,2026-08-07 16:00:00,68.0,4287.582033258565,951.0
S_0082,P_011,2026-08-07 18:00:00,29.3,4020.0061511394324,973.0
S_0083,P_019,2026-08-07 20:00:00,167.2,7648.181360421646,1896.0
S_0084,P_017,2026-08-07 22:00:00,159.1,5607.472566441434,1194.0
S_0085,P_008,2026-08-08 00:00:00,53.9,,486.0
S_0086,P_003,2026-08-08 02:00:00,122.2,6376.792920582164,718.0
S_0087,P_003,2026-08-08 04:00:00,148.9,8183.23429551895,1772.0
S_0088,P_001,2026-08-08 06:00:00,104.4,6548.69789082672,1203.0
S_0089,P_005,2026-08-08 08:00:00,100.0,2720.94505106898,445.0
S_0090,P_010,2026-08-08 10:00:00,51.1,4273.648890700623,1008.0
S_0091,P_007,2026-08-08 12:00:00,25.8,6900.366723779935,805.0
S_0092,P_009,2026-08-08 14:00:00,162.5,3938.495801571829,685.0
S_0093,P_007,2026-08-08 16:00:00,163.1,5665.729142219343,576.0
S_0094,P_009,2026-08-08 18:00:00,117.6,6161.951080144005,1049.0
S_0095,P_008,2026-08-08 20:00:00,67.6,3609.6042926328755,391.0
S_0096,P_012,2026-08-08 22:00:00,69.4,4910.7119659073,579.0
S_0097,P_002,2026-08-09 00:00:00,133.4,,59.0
S_0098,P_001,2026-08-09 02:00:00,162.5,3463.418537998565,684.0
S_0099,P_016,2026-08-09 04:00:00,160.8,4621.14777291026,979.0
S_0100,P_005,2026-08-09 06:00:00,142.6,3128.3252270527255,587.0
S_0101,P_003,2026-08-09 08:00:00,119.1,7448.6169558974525,1820.0
S_0102,P_012,2026-08-09 10:00:00,24.3,2854.787933059051,446.0
